ID,gender,race,ethnicity,age years,ages,genders,baths,lot,dishwash,cwasher,swim
844,M,W,N,30,2730....................................,MM..................,1,33000,0,1,0
845,F,W,N,59,59......................................,F...................,2,1100,0,1,0
846,F,W,N,44,504419..................................,MFM.................,1,44000,1,1,0
847,F,W,N,19,455219..................................,MFF.................,4,352000,1,1,0
848,M,W,N,33,3329....................................,MF..................,1,-6,1,0,0
849,F,W,N,75,75......................................,F...................,1,-6,1,1,0
850,F,W,O,40,38400603................................,MFMM................,1,-6,1,0,0
851,F,W,M,16,311612090805............................,FFFMMM..............,1,-6,0,1,0
852,F,W,M,61,614138131032290653......................,FMMMMFFMM...........,3,10104,1,1,1
853,M,O,M,0,290040..................................,FMM.................,2,-6,0,0,0
854,M,W,N,59,5959....................................,MF..................,2,1400,1,1,0
855,F,W,N,31,3731....................................,MF..................,2,44000,0,1,0
856,F,W,N,77,77......................................,F...................,1,4000,0,1,0
857,F,A,N,14,4343161411..............................,MFMFM...............,3,5520,1,1,1
858,M,W,N,11,45511311................................,FMFM................,2,18000,1,1,0
859,F,W,N,14,4138191514..............................,MFMMF...............,1,22000,1,1,0
860,F,W,N,65,6765....................................,MF..................,2,22000,1,1,3
861,M,W,N,40,230340..................................,FFM.................,1,16000,0,1,0
862,F,W,N,67,696731..................................,MFF.................,1,13200,0,1,0
863,F,B,N,5,7544300705..............................,MFFMF...............,2,88000,1,1,3
864,M,A,N,4,333804..................................,FMM.................,3,10100,1,1,0
865,M,W,N,38,5935160938..............................,FFMMM...............,1,1100,1,1,0
866,M,O,M,13,51451813................................,MFMM................,2,176000,0,1,0
867,M,A,N,55,55552215................................,MFMM................,2,44000,1,1,0
868,F,W,N,65,6572....................................,FM..................,1,4800,0,1,0
869,F,B,N,42,42......................................,F...................,1,-6,0,0,0
870,F,W,N,36,38360805................................,MFMF................,2,44000,1,1,0
871,F,W,N,65,6965....................................,MF..................,2,5000,1,1,0
872,M,B,N,24,47532412................................,FMMM................,1,1800,1,1,0
873,F,B,N,40,401513..................................,FFM.................,1,-6,0,0,0
874,M,W,N,20,202020..................................,MMM.................,1,-6,1,1,0
875,M,W,N,51,5124....................................,MM..................,1,5000,1,1,0
876,M,W,N,35,35......................................,M...................,1,44000,0,1,0
877,F,A,N,9,51410954................................,MFFF................,2,12000,0,0,0
878,M,W,N,77,7773....................................,MF..................,2,44000,1,1,0
879,M,B,N,58,58160750................................,MFMF................,2,5000,1,1,2
880,M,O,M,0,30360100................................,FMMM................,2,44000,0,1,0
881,M,B,N,70,70......................................,M...................,1,700,0,1,0
882,M,W,N,48,70484746................................,FMMM................,2,88000,1,1,0
883,M,W,M,7,373813090705............................,FMMMMF..............,4,2000,0,1,0
884,M,O,M,45,4537....................................,MF..................,1,-6,1,0,0
885,F,W,N,30,4030....................................,MF..................,1,44000,1,1,0
886,M,O,M,60,60......................................,M...................,1,-6,0,0,0
887,M,W,N,47,47502522070403..........................,MFMFMFF.............,3,44000,1,1,0
888,M,W,N,41,41......................................,M...................,2,3125,1,1,0
889,F,W,M,2,606134301614121108070228................,MFFMMFMMFFFM........,2,5000,1,1,0
890,F,O,M,49,4927....................................,FF..................,1,-6,1,1,0
891,M,W,M,65,4043655906..............................,MFMFM...............,1,5500,0,1,0
892,F,W,N,12,58571413121209..........................,MFFMMFM.............,1,44000,1,1,0
893,M,W,N,7,5227070502..............................,MFMMM...............,1,88000,1,1,0
894,M,W,M,14,3917140705..............................,FFMMM...............,1,11000,1,1,3
895,M,W,N,27,2627....................................,FM..................,2,-6,1,1,0
896,F,W,M,70,70......................................,F...................,1,-6,1,0,1
897,F,W,N,7,36370703................................,FMFF................,2,68000,1,1,0
898,M,W,N,30,3020....................................,MM..................,1,-6,0,1,0
899,M,W,N,27,272501..................................,MFM.................,1,-6,0,1,0
900,M,W,N,79,7973....................................,MF..................,3,308000,1,1,0
901,F,W,N,15,4739150807..............................,MFFMF...............,2,999998,1,1,0
902,M,W,N,11,4211....................................,MM..................,1,14000,0,1,0
903,M,B,N,57,5746....................................,MF..................,1,-6,0,0,0
904,M,B,N,20,442016..................................,FMF.................,3,209,0,1,2
905,F,W,N,38,38......................................,F...................,4,20000,1,1,0
906,F,B,N,48,48521006................................,FMMM................,2,11000,0,1,0
907,M,W,O,33,5833....................................,FM..................,2,4500,1,1,1
908,F,W,N,40,37401220................................,MFFM................,1,13500,1,1,0
909,M,W,N,58,5857....................................,MF..................,2,11000,1,1,0
910,F,W,N,22,2522....................................,MF..................,2,484000,0,1,0
911,F,O,O,1,2829070137301004........................,FMFFMFMF............,1,-6,0,0,0
912,M,O,O,19,49190975................................,MMFF................,2,-6,1,0,0
913,F,W,N,62,6462....................................,MF..................,1,44000,0,1,0
914,F,W,M,5,582213090807050402022951................,FFMMMFFFFFMM........,2,10000,0,1,0
915,F,W,M,17,484517..................................,FMF.................,4,44000,1,1,2
916,M,W,N,33,33......................................,M...................,2,-6,0,0,0
917,F,W,N,52,6952....................................,MF..................,3,1500,0,1,0
918,F,W,N,38,381520..................................,FFF.................,1,-6,0,1,0
919,F,W,N,74,74......................................,F...................,4,220000,1,1,0
920,F,W,N,77,7780....................................,FM..................,1,44000,1,1,0
921,M,W,M,48,42481308................................,FMMF................,2,-6,1,0,0
922,M,W,N,66,66......................................,M...................,1,3019,0,1,0
923,M,W,O,29,29160806060401..........................,MFMMMFF.............,2,6000,1,1,0
924,M,O,M,32,32......................................,M...................,1,2025,0,1,0
925,F,W,N,85,85......................................,F...................,2,44000,0,0,0
926,M,W,N,52,5152....................................,FM..................,2,88000,1,1,0
927,M,W,N,32,4032....................................,MM..................,1,22000,1,1,0
928,M,W,N,58,58......................................,M...................,2,22000,1,1,0
929,F,W,N,48,4852210124..............................,FMFMM...............,3,10000,1,1,0
930,F,W,N,13,42410713................................,MFMF................,2,44000,1,1,0
931,F,W,N,66,6666572720..............................,FMFFF...............,2,7500,0,1,0
932,M,W,N,60,6060....................................,MF..................,1,-6,1,0,0
933,M,W,N,51,51482932................................,MFFM................,2,44000,1,1,0
934,F,W,N,42,40420803................................,MFFM................,2,4950,1,1,0
935,M,W,N,61,61......................................,M...................,2,8100,0,1,0
936,M,W,N,69,6969....................................,MF..................,2,44000,0,1,0
937,M,W,N,81,8170....................................,MF..................,2,9800,1,1,0
939,M,W,N,27,3427....................................,FM..................,2,44000,1,1,0
940,M,W,N,7,35280705................................,MFMM................,3,17500,0,1,0
941,F,B,N,67,4267....................................,FF..................,1,44000,1,1,0
942,M,W,N,87,8784....................................,MF..................,2,49720,0,1,0
943,M,W,N,39,383914..................................,FMM.................,2,11000,1,1,0
944,F,W,N,47,475321..................................,FMF.................,3,-6,1,1,0
945,M,W,N,57,5753....................................,MF..................,3,176000,1,1,0
946,M,W,N,75,7475....................................,FM..................,2,198000,0,1,0
947,F,W,O,54,5429190552..............................,FFMMM...............,2,-6,1,1,0
948,M,W,N,11,495511..................................,FMM.................,2,5600,1,1,2
949,M,W,N,15,636115..................................,MFM.................,1,7000,1,1,0
950,M,W,N,1,3434040101..............................,MFMMM...............,3,15096,1,1,0
951,F,W,N,21,23020021................................,MFMF................,1,-6,1,1,0
952,F,B,N,6,44410806................................,MFFF................,2,10000,1,1,0
953,F,W,N,56,575636..................................,MFM.................,2,66000,1,1,0
954,F,W,N,36,363605030200............................,MFMMMM..............,2,5500,1,1,0
955,M,W,N,51,455116..................................,FMF.................,2,600,1,1,0
956,M,W,N,7,360907..................................,FFM.................,1,132000,1,1,0
957,M,B,N,29,29......................................,M...................,1,-6,0,0,0
958,F,A,N,43,430879..................................,FFF.................,1,11000,0,1,0
960,F,O,M,61,70612587................................,MFFF................,1,-6,0,0,0
961,M,W,N,15,4846231915..............................,MFFMM...............,4,11000,1,1,0
962,M,A,N,31,313004..................................,MFF.................,1,-6,0,0,0
963,M,W,N,70,7059....................................,MF..................,2,25000,1,1,0
964,M,W,N,54,5054....................................,FM..................,2,528000,1,1,0
965,F,W,M,6,30300615................................,MFFF................,1,-6,0,1,0
966,M,W,O,11,3711....................................,FM..................,2,-6,0,0,0
967,M,W,N,73,7373....................................,MF..................,2,44000,1,1,1
968,F,B,N,59,886159525018............................,FFFFFF..............,1,14520,1,1,0
969,F,O,O,2,36060201................................,MMFM................,2,-6,1,1,0
970,F,B,N,53,53562523................................,FMFM................,2,4000,1,1,0
971,M,W,N,56,5656....................................,FM..................,2,40000,1,1,0
972,F,W,N,31,31310301................................,MFFF................,3,999998,1,1,0
973,M,W,N,61,61......................................,M...................,1,-6,0,0,0
974,F,B,N,48,481709..................................,FMF.................,1,3500,0,0,0
975,F,W,N,56,5156....................................,FF..................,2,25000,0,1,3
976,F,W,N,28,52602803................................,FMFF................,1,6500,1,1,0
977,M,W,M,9,36100933................................,MFMF................,3,6000,1,1,0
978,F,W,N,29,2908141029..............................,MFFMF...............,2,5720,1,1,0
979,F,A,N,5,45371105................................,FMMF................,3,22951,1,1,0
980,F,O,M,29,310429..................................,MMF.................,1,-6,1,1,0
981,F,W,N,43,4043120906..............................,MFMFF...............,1,-6,0,0,0
982,M,B,N,35,2335338025..............................,FMMFF...............,1,5500,0,1,0
983,F,B,N,17,525117..................................,MFF.................,2,7200,1,1,0
984,M,B,N,40,404116..................................,MFM.................,2,4000,0,1,0
985,M,W,N,46,46391310................................,MFFM................,2,38720,1,1,0
986,F,W,N,35,35331211................................,FMMF................,2,22000,1,1,0
987,F,W,N,35,3538....................................,FM..................,3,9000,1,1,0
988,F,W,M,7,2811070201312701........................,FFFFMMFM............,1,1800,0,1,0
989,M,W,N,51,515122..................................,MFM.................,3,11000,1,1,2
990,F,W,N,7,51440907................................,MFFF................,4,26400,0,1,0
991,M,W,N,26,2629....................................,MF..................,1,88000,1,1,0
992,F,W,M,17,484519171409............................,MFMFMF..............,1,5500,0,0,0
993,F,W,M,52,5256....................................,FM..................,2,88000,0,1,2
994,M,A,N,1,36370401................................,MFFM................,1,-6,0,1,0
995,M,B,N,39,3932....................................,MF..................,3,33000,1,1,0
996,F,O,M,13,42391311................................,MFFF................,2,999998,0,0,0
997,F,W,N,33,3330....................................,FM..................,2,44000,0,1,0
998,F,W,N,55,5519....................................,FF..................,1,22000,1,1,2
999,F,W,N,84,60563384................................,MFMF................,1,88000,1,1,0
1000,F,W,N,10,39341017................................,MFFF................,2,11000,0,1,3
